seq	C	
979	0.152
980	0.153
981	0.152
982	0.153
983	0.152
984	0.153
985	0.152
986	0.153
987	0.153
988	0.152
989	0.153
990	0.152
991	0.153
992	0.153
993	0.152
994	0.152
995	0.153
996	0.153
997	0.152
998	0.153
999	0.153
1000	0.153
