seq	C	
954	0.236
955	0.307
956	0.249
957	0.296
958	0.559
959	0.83
960	0.433
961	0.423
962	0.235
963	0.362
964	0.234
965	0.424
966	0.157
967	0.237
968	0.321
969	0.392
970	0.439
971	0.34
972	0.394
973	0.326
974	0.164
975	0.417
976	0.68
977	0.846
978	0.374
979	0.649
980	0.765
981	0.405
982	0.697
983	0.169
984	0.238
985	0.268
986	0.304
987	0.386
988	0.421
989	0.384
990	0.432
991	0.631
992	0.217
993	0.402
994	0.288
995	0.156
996	0.222
997	0.452
998	0.27
999	0.34
1000	0.43
